title,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,uri,duration_ms,time_signature,cluster
Dynamite,BTS,0.746,0.765,6.0,-4.41,0.0,0.0993,0.0112,0.0,0.0936,0.737,114.044,spotify:track:4saklk6nie3yiGePpBwUoc,199054.0,4.0,16
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,0.677,0.696,0.0,-6.181,1.0,0.11900000000000001,0.321,0.0,0.42,0.46399999999999997,90.03,spotify:track:4iJyoBOLtHqaGxP12qzhQI,198082.0,4.0,13
Peaches (feat. Daniel Caesar & Giveon),Daniel Caesar,0.677,0.696,0.0,-6.181,1.0,0.11900000000000001,0.321,0.0,0.42,0.46399999999999997,90.03,spotify:track:4iJyoBOLtHqaGxP12qzhQI,198082.0,4.0,13
Peaches (feat. Daniel Caesar & Giveon),Giveon,0.677,0.696,0.0,-6.181,1.0,0.11900000000000001,0.321,0.0,0.42,0.46399999999999997,90.03,spotify:track:4iJyoBOLtHqaGxP12qzhQI,198082.0,4.0,13
you broke me first,Tate McRae,0.667,0.373,4.0,-9.389,1.0,0.05,0.785,0.0,0.0906,0.0823,124.148,spotify:track:45bE4HXI0AwGZXfZtMp8JR,169266.0,4.0,96
2002,Anne-Marie,0.6970000000000001,0.6829999999999999,1.0,-2.8810000000000002,0.0,0.11699999999999999,0.0372,0.0,0.13699999999999998,0.603,96.133,spotify:track:2BgEsaKNfHUdlh97KmvFyo,186987.0,4.0,0
Adore You,Harry Styles,0.6759999999999999,0.7709999999999999,8.0,-3.675,1.0,0.0483,0.0237,7.000000000000001e-06,0.102,0.569,99.04799999999999,spotify:track:3jjujdWJ72nww5eGnfs2E7,207133.0,4.0,0
Heartbreak Anniversary,Giveon,0.44299999999999995,0.45899999999999996,0.0,-8.955,1.0,0.07400000000000001,0.546,1.05e-06,0.307,0.565,87.064,spotify:track:27tDoZsybt3KvJWTDoW9id,198371.0,5.0,48
Be Kind (with Halsey),Marshmello,0.63,0.633,4.0,-7.087999999999999,1.0,0.0457,0.0077599999999999995,0.0,0.0541,0.452,93.995,spotify:track:3Z8FwOEN59mRMxDCtb8N0A,172762.0,4.0,61
Be Kind (with Halsey),Halsey,0.63,0.633,4.0,-7.087999999999999,1.0,0.0457,0.0077599999999999995,0.0,0.0541,0.452,93.995,spotify:track:3Z8FwOEN59mRMxDCtb8N0A,172762.0,4.0,61
